UMAP_1,UMAP_2,cluster
12.616988,7.3721914,6
5.03518,10.966919,0
10.740035,12.4909525,5
-2.0588193,11.803043,4
10.175186,8.250629,5
1.129136,12.478321,3
4.034065,12.236211,7
-2.8563817,9.974769,4
9.472853,12.326772,5
10.363304,9.927009,5
2.4651897,13.649559,-1
2.4330065,11.704294,1
11.81756,8.8514805,5
12.568828,10.895753,5
-2.0656064,11.54311,4
12.039142,8.931637,5
10.544059,10.4129305,5
4.952628,11.249688,0
12.387033,9.954518,5
8.806983,10.382434,5
9.286471,7.963346,5
9.334597,11.710023,5
-0.02298093,11.238683,3
-1.2852868,10.276705,4
12.766594,7.949773,6
-2.2079062,10.534303,4
12.280452,9.594937,5
7.9823446,12.896377,2
-0.95714307,9.236336,4
-1.5453949,10.932997,4
8.125812,8.783859,5
10.399393,10.676981,5
10.088593,11.157557,5
7.73996,13.244039,2
11.406696,9.561501,5
-1.0067055,11.99909,4
3.8896904,13.673214,-1
10.867302,8.060823,5
6.52825,12.6620655,-1
12.179863,9.176243,5
12.664972,10.704991,5
-1.6176659,10.50977,4
-1.6239157,10.507243,4
3.9915974,12.298011,7
9.349266,8.9697275,5
9.636303,12.439898,5
-2.9423344,10.120598,4
8.858664,9.703832,5
-2.0036356,10.3606615,4
-0.94081753,9.172267,4
-0.23876445,10.087426,4
0.1851919,11.343013,3
12.141041,10.440786,5
10.354759,11.37904,5
10.015315,10.230466,5
9.5326,12.496428,5
3.3842134,13.664295,-1
9.826337,9.121269,5
-0.58039725,10.54584,4
-2.3263369,8.81268,4
-2.9503076,10.209345,4
-3.0735724,11.3370075,4
11.994957,8.845923,5
11.814489,9.72755,5
11.698901,8.809968,5
11.181076,10.163565,5
8.383182,8.044179,5
-1.6137269,9.157971,4
12.621261,7.3053293,6
9.492862,11.323214,5
8.853272,9.969569,5
8.2390175,10.301354,5
-2.3467555,9.853897,4
-0.8172347,9.210261,4
0.22700867,11.893107,3
11.174504,9.28149,5
10.952813,8.046118,5
10.704882,9.657931,5
10.711837,9.040896,5
2.6079752,11.296515,1
9.279986,9.469295,5
12.04246,11.5940275,-1
10.36827,8.905468,5
-0.9645496,9.908431,4
-1.7101732,10.783761,4
-2.2302947,8.830706,4
4.4804587,11.158308,0
3.00303,13.04955,7
10.060883,10.862812,5
8.652215,9.069046,5
-1.5243374,11.797542,4
9.651406,12.05275,5
8.216863,13.369288,2
12.826657,7.777584,6
9.308872,7.9619365,5
9.2968445,9.093957,5
-1.3324395,10.470685,4
10.439454,11.795311,5
9.28414,9.791887,5
3.2392068,12.992175,7
9.830077,9.132118,5
10.675567,9.246763,5
-1.7510078,10.96431,4
8.904973,7.6155815,5
9.410461,11.29559,5
8.919026,11.047794,5
12.3450365,7.474577,6
8.722673,9.191453,5
9.207632,9.694488,5
9.237462,8.904724,5
8.015673,13.090806,2
-0.60080606,10.237207,4
5.662556,11.395253,0
8.801113,10.04416,5
3.7324057,12.5018,7
8.42028,9.597821,5
11.667226,7.6287513,6
9.996455,7.8541,5
-2.5122292,9.710687,4
11.548275,9.806968,5
9.309455,8.903153,5
-2.0040467,11.649717,4
3.042113,14.04753,8
12.107979,9.247758,5
10.708085,11.259943,5
5.026774,11.1138315,0
1.1161441,11.565794,3
0.15059961,10.554269,3
-1.8716438,10.525648,4
3.0620968,14.179161,8
4.9332833,10.875318,0
10.713499,10.789186,5
2.9389243,14.114705,8
7.575362,13.164166,2
11.932486,9.367642,5
10.54863,9.728273,5
3.1283178,13.129163,7
-2.8934731,10.665038,4
9.282609,10.466742,5
0.83290815,12.16563,3
8.390694,8.189923,5
10.084226,10.525035,5
